iter	RMSE
0	67.21980328
1	66.43717318
2	65.69129287
3	65.0709859
4	64.38817647
5	63.79474119
6	63.19522025
7	62.61003439
8	62.05609228
9	61.53877698
10	61.05226409
11	60.54837235
12	60.07290406
13	59.63787597
14	59.07605477
15	58.68621813
16	58.37190162
17	57.96441409
18	57.61993044
19	57.30181116
20	56.9996476
21	56.59502967
22	56.30788449
23	56.08350523
24	55.72373814
25	55.46222204
26	55.1810486
27	54.98211736
28	54.68096033
29	54.46117441
30	54.26150829
31	54.13303972
32	53.77258427
33	53.57884436
34	53.42584702
35	53.25418943
36	53.12071136
37	52.9698427
38	52.81743419
39	52.60762564
40	52.36976648
41	52.13716166
42	51.92400607
43	51.7534639
44	51.50832221
45	51.24772804
46	51.10851852
47	51.00171577
48	50.86966961
49	50.79794864
50	50.55489494
51	50.41538856
52	50.36045724
53	50.16857631
54	50.10311294
55	49.96481366
56	49.87737106
57	49.75799368
58	49.64376169
59	49.53760821
60	49.44762191
61	49.37388158
62	49.25249324
63	49.20644846
64	49.17068131
65	49.06542599
66	48.98766765
67	48.89257744
68	48.80704569
69	48.72456256
70	48.67129128
71	48.64188357
72	48.56253411
73	48.46241309
74	48.4276576
75	48.31002481
76	48.21665024
77	48.15519116
78	48.06902997
79	47.99605479
80	47.96262822
81	47.8031074
82	47.77218274
83	47.73245776
84	47.67943582
85	47.52203007
86	47.48549213
87	47.35716555
88	47.30407692
89	47.16099615
90	47.14931652
91	47.06553801
92	47.00599049
93	46.96127825
94	46.90487798
95	46.83123765
96	46.81751159
97	46.77138102
98	46.69940049
99	46.63799687
100	46.56908549
101	46.51807205
102	46.51077214
103	46.48723132
104	46.4499426
105	46.39861382
106	46.37807944
107	46.33679556
108	46.27728292
109	46.23613647
110	46.18743479
111	46.15433223
112	46.08264961
113	46.06321359
114	46.03715874
115	45.9697761
116	45.88588449
117	45.76691577
118	45.75248706
119	45.71358283
120	45.69412816
121	45.6589376
122	45.64349708
123	45.58055844
124	45.56519091
125	45.56360277
126	45.55082489
127	45.51477709
128	45.48697498
129	45.44968377
130	45.39998675
131	45.36642979
132	45.27706766
133	45.25962098
134	45.24379214
135	45.22853229
136	45.17723879
137	45.16299753
138	45.15427968
139	45.1244817
140	45.11409895
141	45.09684284
142	45.0635656
143	45.01918533
144	45.00662204
145	44.93568007
146	44.9028127
147	44.82651479
148	44.79200274
149	44.73291849
150	44.71046852
151	44.69614971
152	44.66234025
153	44.65593516
154	44.62809982
155	44.61074511
156	44.48286266
157	44.45996313
158	44.33872442
159	44.2877647
160	44.24818856
161	44.19245589
162	44.09715816
163	44.07520075
164	44.05821651
165	44.0431242
166	43.96702808
167	43.92828193
168	43.8679525
169	43.85522038
170	43.80173103
171	43.78213326
172	43.75940523
173	43.74813982
174	43.74166892
175	43.72025596
176	43.69146225
177	43.67324345
178	43.66471738
179	43.64109754
180	43.61777479
181	43.59037282
182	43.51845954
183	43.46311677
184	43.43618909
185	43.40982076
186	43.37794865
187	43.35291224
188	43.28266115
189	43.26214465
190	43.19928867
191	43.18305202
192	43.13579582
193	43.05903238
194	43.04574477
195	43.03015418
196	42.97035275
197	42.90486502
198	42.87017774
199	42.84226543
200	42.79025329
201	42.76633315
202	42.7367426
203	42.67813356
204	42.65973716
205	42.60405169
206	42.58580167
207	42.56921322
208	42.55836224
209	42.5153512
210	42.50069265
211	42.44453619
212	42.37210831
213	42.30351682
214	42.24727517
215	42.20601802
216	42.18115407
217	42.11714818
218	42.06438635
219	42.03392826
220	42.01010455
221	42.00400187
222	41.96409814
223	41.94188552
224	41.93032496
225	41.90198936
226	41.88625088
227	41.85672673
228	41.8323571
229	41.72193847
230	41.69531001
231	41.64319181
232	41.61062979
233	41.58639553
234	41.55500028
235	41.50604357
236	41.44906984
237	41.39933492
238	41.35779532
239	41.33766707
240	41.31764634
241	41.28780706
242	41.24480082
243	41.2188999
244	41.17213182
245	41.14681596
246	41.11465792
247	41.07743659
248	41.0631033
249	41.0246526
250	40.987974
251	40.94609528
252	40.91279745
253	40.85282866
254	40.82461025
255	40.69783882
256	40.65427
257	40.60168578
258	40.56683799
259	40.55220232
260	40.50826838
261	40.48503337
262	40.42981208
263	40.37487269
264	40.33135815
265	40.27111464
266	40.25098289
267	40.21959241
268	40.17523234
269	40.13130707
270	40.08379941
271	40.02344702
272	40.00193404
273	39.97476173
274	39.92438186
275	39.90656701
276	39.88363397
277	39.85907239
278	39.80849976
279	39.79710385
280	39.77913098
281	39.75567605
282	39.7129173
283	39.6546918
284	39.63986107
285	39.60858864
286	39.58549643
287	39.55762601
288	39.51848072
289	39.45989777
290	39.43953612
291	39.42230362
292	39.41117108
293	39.39193894
294	39.35843329
295	39.3343215
296	39.31564302
297	39.27828553
298	39.21322305
299	39.19707472
300	39.17668405
301	39.13848423
302	39.08259216
303	39.04786679
304	39.01552083
305	39.00141528
306	38.95102035
307	38.8630215
308	38.82101797
309	38.78326568
310	38.7774293
311	38.75699172
312	38.73064891
313	38.72085562
314	38.71091149
315	38.66293493
316	38.65145865
317	38.61469243
318	38.57126433
319	38.54437062
320	38.538002
321	38.49492491
322	38.48387126
323	38.47084594
324	38.43215761
325	38.40124719
326	38.37980136
327	38.36754167
328	38.33621129
329	38.31618595
330	38.27386446
331	38.23667597
332	38.20499528
333	38.18117877
334	38.16805784
335	38.1444016
336	38.06469733
337	38.01841043
338	37.93151344
339	37.88548908
340	37.87207685
341	37.85086717
342	37.81148483
343	37.76804157
344	37.73697738
345	37.67901751
346	37.65191066
347	37.6149833
348	37.60317428
349	37.56688013
350	37.54018642
351	37.49776909
352	37.46579916
353	37.44161125
354	37.44120821
355	37.41297605
356	37.39064609
357	37.36018694
