iter	Passed	Remaining
0	61	61222
1	73	36776
2	87	29165
3	102	25535
4	110	21897
5	115	19070
6	119	16958
7	123	15343
8	124	13753
9	125	12456
10	126	11393
11	128	10593
12	131	9952
13	132	9358
14	134	8827
15	135	8342
16	137	7962
17	139	7616
18	140	7269
19	141	6936
20	142	6647
21	143	6401
22	145	6177
23	146	5971
24	147	5767
25	149	5590
26	150	5423
27	151	5248
28	152	5116
29	153	4975
30	155	4848
31	155	4710
32	157	4602
33	157	4488
34	159	4389
35	160	4296
36	161	4191
37	162	4109
38	164	4061
39	166	3986
40	167	3921
41	168	3853
42	170	3789
43	171	3726
44	173	3686
45	175	3637
46	176	3584
47	177	3526
48	178	3467
49	179	3406
50	180	3359
51	181	3313
52	182	3268
53	185	3245
54	187	3216
55	188	3182
56	190	3150
57	192	3118
58	194	3107
59	206	3241
60	208	3210
61	210	3180
62	211	3151
63	213	3116
64	214	3080
65	215	3054
66	217	3032
67	219	3008
68	221	2984
69	222	2959
70	225	2951
71	226	2918
72	227	2895
73	229	2876
74	230	2846
75	232	2827
76	234	2806
77	235	2787
78	237	2767
79	239	2749
80	240	2730
81	242	2709
82	242	2682
83	244	2661
84	245	2641
85	246	2621
86	249	2619
87	251	2607
88	255	2615
89	257	2599
90	257	2576
91	260	2566
92	261	2552
93	265	2558
94	268	2553
95	269	2540
96	271	2527
97	278	2567
98	280	2550
99	281	2534
100	282	2517
101	284	2501
102	284	2478
103	285	2458
104	286	2443
105	288	2434
106	290	2423
107	296	2452
108	302	2472
109	305	2468
110	306	2455
111	307	2441
112	309	2427
113	310	2413
114	311	2399
115	313	2385
116	314	2372
117	315	2358
118	316	2345
119	318	2332
120	319	2319
121	320	2306
122	321	2292
123	322	2280
124	324	2268
125	324	2251
126	325	2237
127	326	2226
128	328	2215
129	329	2204
130	332	2202
131	338	2227
132	341	2225
133	345	2233
134	347	2226
135	349	2220
136	352	2217
137	354	2211
138	354	2198
139	362	2227
140	370	2258
141	380	2301
142	389	2336
143	397	2363
144	399	2357
145	401	2350
146	403	2342
147	405	2336
148	408	2335
149	411	2333
150	414	2332
151	417	2331
152	420	2328
153	423	2328
154	426	2326
155	429	2325
156	433	2325
157	436	2327
158	450	2384
159	454	2387
160	462	2411
161	464	2404
162	466	2395
163	468	2386
164	472	2389
165	475	2388
166	483	2413
167	491	2435
168	495	2434
169	501	2450
170	513	2489
171	515	2480
172	516	2470
173	518	2461
174	536	2529
175	548	2569
176	557	2591
177	560	2586
178	561	2574
179	562	2562
180	563	2551
181	567	2550
182	568	2539
183	570	2528
184	579	2552
185	585	2560
186	586	2549
187	588	2541
188	591	2539
189	596	2544
190	601	2546
191	602	2535
192	604	2526
193	606	2518
194	607	2508
195	608	2497
196	610	2487
197	611	2476
198	613	2468
199	614	2459
200	616	2448
201	617	2439
202	618	2429
203	620	2420
204	621	2410
205	622	2400
206	624	2391
207	625	2382
208	627	2373
209	628	2364
210	630	2356
211	631	2348
212	633	2339
213	634	2332
214	637	2328
215	639	2322
216	641	2315
217	643	2308
218	645	2300
219	646	2293
220	649	2289
221	652	2286
222	653	2278
223	655	2270
224	656	2262
225	658	2254
226	659	2246
227	660	2237
228	662	2229
229	665	2226
230	666	2220
231	671	2222
232	676	2225
233	677	2218
234	679	2211
235	680	2203
236	682	2196
237	683	2187
238	684	2180
239	685	2172
240	687	2164
241	688	2156
242	689	2148
243	691	2141
244	692	2133
245	693	2126
246	695	2119
247	696	2112
248	697	2104
249	699	2097
250	700	2089
251	701	2082
252	703	2077
253	704	2070
254	706	2062
255	707	2055
256	708	2048
257	710	2042
258	711	2035
259	712	2028
260	714	2022
261	717	2021
262	719	2015
263	720	2008
264	721	2002
265	723	1995
266	724	1988
267	726	1983
268	729	1981
269	732	1981
270	734	1974
271	735	1968
272	736	1962
273	738	1956
274	741	1954
275	743	1950
276	748	1954
277	750	1950
278	752	1943
279	753	1937
280	755	1931
281	756	1925
282	757	1919
283	758	1913
284	760	1906
285	761	1900
286	762	1894
287	763	1888
288	765	1882
289	766	1876
290	767	1870
291	769	1864
292	770	1859
293	772	1855
294	774	1849
295	775	1844
296	776	1838
297	777	1832
298	779	1826
299	780	1821
300	781	1815
301	782	1809
302	784	1804
303	786	1800
304	787	1794
305	788	1789
306	790	1783
307	791	1778
308	795	1779
309	797	1774
310	798	1769
311	800	1764
312	801	1759
313	803	1755
314	804	1750
315	806	1745
316	807	1740
317	809	1735
318	810	1730
319	811	1724
320	812	1719
321	814	1715
322	816	1710
323	817	1705
324	818	1700
325	821	1698
326	823	1694
327	825	1690
328	839	1711
329	844	1714
330	846	1710
331	851	1713
332	856	1716
333	859	1714
334	866	1720
335	868	1716
336	870	1712
337	872	1708
338	873	1704
339	875	1700
340	877	1695
341	879	1692
342	882	1690
343	884	1687
344	887	1684
345	888	1679
346	889	1674
347	891	1669
348	892	1664
349	893	1659
350	895	1655
351	896	1651
352	898	1646
353	900	1642
354	900	1636
355	901	1631
356	903	1626
357	905	1623
358	906	1618
359	907	1613
360	909	1609
361	910	1605
362	912	1600
363	913	1595
364	914	1591
365	915	1586
366	917	1581
367	919	1578
368	921	1575
369	922	1571
370	923	1566
371	925	1562
372	927	1558
373	928	1554
374	930	1550
375	932	1546
376	933	1542
377	934	1538
378	936	1533
379	937	1529
380	938	1525
381	945	1528
382	946	1525
383	948	1521
384	952	1522
385	955	1520
386	958	1518
387	960	1514
388	961	1510
389	962	1506
390	964	1501
391	965	1497
392	966	1493
393	968	1489
394	969	1484
395	970	1480
396	972	1476
397	973	1472
398	974	1468
399	976	1464
400	977	1460
401	979	1457
402	980	1453
403	982	1448
404	983	1444
405	984	1440
406	986	1437
407	987	1433
408	989	1429
409	990	1425
410	992	1421
411	993	1417
412	994	1414
413	996	1410
414	997	1406
415	998	1402
416	1000	1398
417	1001	1394
418	1003	1391
419	1004	1387
420	1005	1383
421	1008	1381
422	1010	1377
423	1011	1374
424	1013	1370
425	1014	1366
426	1019	1367
427	1022	1366
428	1025	1364
429	1027	1362
430	1030	1359
431	1033	1358
432	1036	1357
433	1039	1355
434	1042	1353
435	1043	1350
436	1045	1347
437	1049	1346
438	1051	1343
439	1053	1340
440	1054	1337
441	1057	1335
442	1067	1341
443	1069	1339
444	1071	1336
445	1073	1333
446	1075	1330
447	1076	1326
448	1081	1327
449	1083	1324
450	1105	1345
451	1109	1344
452	1112	1343
453	1115	1341
454	1118	1339
455	1120	1337
456	1123	1334
457	1129	1336
458	1135	1338
459	1141	1340
460	1144	1338
461	1147	1336
462	1157	1342
463	1169	1351
464	1172	1349
465	1176	1348
466	1186	1353
467	1187	1349
468	1189	1346
469	1190	1342
470	1192	1339
471	1196	1338
472	1197	1334
473	1199	1331
474	1201	1327
475	1202	1323
476	1203	1319
477	1205	1316
478	1207	1312
479	1211	1312
480	1222	1319
481	1225	1316
482	1233	1320
483	1240	1322
484	1243	1320
485	1245	1316
486	1246	1313
487	1247	1309
488	1248	1305
489	1250	1301
490	1252	1297
491	1257	1298
492	1259	1294
493	1263	1294
494	1268	1293
495	1269	1290
496	1271	1286
497	1272	1283
498	1274	1279
499	1276	1276
500	1277	1272
501	1278	1268
502	1279	1264
503	1281	1260
504	1282	1256
505	1283	1253
506	1284	1249
507	1287	1246
508	1291	1245
509	1292	1241
510	1293	1238
511	1295	1234
512	1296	1230
513	1299	1228
514	1300	1225
515	1303	1222
516	1305	1219
517	1306	1215
518	1308	1212
519	1309	1208
520	1310	1205
521	1312	1201
522	1313	1198
523	1315	1194
524	1316	1191
525	1318	1187
526	1319	1184
527	1320	1180
528	1322	1177
529	1323	1173
530	1324	1170
531	1326	1166
532	1327	1162
533	1327	1158
534	1329	1155
535	1330	1151
536	1332	1148
537	1334	1145
538	1335	1142
539	1336	1138
540	1337	1135
541	1339	1131
542	1340	1128
543	1341	1124
544	1343	1121
545	1344	1117
546	1345	1114
547	1347	1111
548	1348	1107
549	1350	1104
550	1351	1101
551	1373	1115
552	1377	1113
553	1390	1119
554	1396	1120
555	1404	1121
556	1407	1119
557	1410	1117
558	1413	1114
559	1417	1113
560	1422	1113
561	1429	1114
562	1432	1111
563	1435	1109
564	1437	1106
565	1440	1104
566	1449	1107
567	1480	1125
568	1495	1133
569	1507	1137
570	1515	1138
571	1521	1138
572	1523	1134
573	1524	1131
574	1529	1130
575	1531	1127
576	1532	1123
577	1533	1119
578	1535	1116
579	1536	1112
580	1538	1109
581	1541	1106
582	1543	1103
583	1544	1100
584	1546	1097
585	1548	1093
586	1549	1090
587	1551	1086
588	1552	1083
589	1554	1079
590	1555	1076
591	1557	1073
592	1558	1069
593	1560	1066
594	1561	1063
595	1563	1059
596	1565	1056
597	1566	1053
598	1568	1049
599	1569	1046
600	1572	1043
601	1574	1040
602	1575	1037
603	1577	1034
604	1578	1030
605	1580	1027
606	1582	1024
607	1584	1021
608	1586	1018
609	1589	1015
610	1590	1012
611	1594	1011
612	1597	1008
613	1600	1006
614	1602	1003
615	1604	999
616	1607	997
617	1610	995
618	1615	994
619	1637	1003
620	1639	1000
621	1641	997
622	1642	993
623	1643	990
624	1645	987
625	1647	984
626	1648	980
627	1650	977
628	1652	974
629	1653	970
630	1654	967
631	1655	964
632	1659	962
633	1661	958
634	1662	955
635	1664	952
636	1666	949
637	1668	946
638	1671	944
639	1675	942
640	1677	939
641	1678	935
642	1679	932
643	1681	929
644	1682	926
645	1684	922
646	1685	919
647	1686	916
648	1688	912
649	1689	909
650	1691	906
651	1692	903
652	1693	899
653	1695	896
654	1698	894
655	1699	891
656	1701	888
657	1702	885
658	1704	881
659	1705	878
660	1706	875
661	1707	872
662	1709	868
663	1710	865
664	1712	862
665	1713	859
666	1715	856
667	1716	853
668	1717	849
669	1719	846
670	1720	843
671	1722	840
672	1724	837
673	1726	835
674	1729	832
675	1732	830
676	1735	828
677	1737	825
678	1738	821
679	1739	818
680	1741	815
681	1742	812
682	1744	809
683	1747	807
684	1749	804
685	1751	801
686	1753	798
687	1755	795
688	1756	792
689	1757	789
690	1759	787
691	1761	783
692	1762	780
693	1763	777
694	1765	774
695	1766	771
696	1767	768
697	1769	765
698	1770	762
699	1772	759
700	1773	756
701	1774	753
702	1776	750
703	1777	747
704	1779	744
705	1780	741
706	1782	738
707	1785	736
708	1791	735
709	1793	732
710	1795	729
711	1799	727
712	1802	725
713	1807	724
714	1809	721
715	1810	718
716	1811	715
717	1813	712
718	1814	709
719	1815	706
720	1818	703
721	1819	700
722	1822	698
723	1824	695
724	1827	693
725	1829	690
726	1831	687
727	1837	686
728	1839	683
729	1840	680
730	1842	677
731	1843	675
732	1845	672
733	1846	669
734	1847	666
735	1849	663
736	1850	660
737	1851	657
738	1853	654
739	1854	651
740	1855	648
741	1857	645
742	1858	642
743	1859	639
744	1860	636
745	1862	634
746	1863	631
747	1865	628
748	1866	625
749	1867	622
750	1872	620
751	1874	618
752	1876	615
753	1877	612
754	1878	609
755	1880	606
756	1881	603
757	1882	601
758	1884	598
759	1885	595
760	1886	592
761	1888	589
762	1890	587
763	1891	584
764	1893	581
765	1894	578
766	1895	575
767	1897	573
768	1898	570
769	1899	567
770	1901	564
771	1906	563
772	1907	560
773	1909	557
774	1913	555
775	1916	553
776	1919	550
777	1922	548
778	1925	546
779	1928	544
780	1931	541
781	1934	539
782	1937	536
783	1941	534
784	1944	532
785	1950	531
786	1954	529
787	1958	526
788	1963	525
789	1970	523
790	1974	521
791	2003	526
792	2008	524
793	2011	521
794	2014	519
795	2017	517
796	2020	514
797	2024	512
798	2027	510
799	2029	507
800	2032	504
801	2036	502
802	2037	499
803	2039	497
804	2040	494
805	2041	491
806	2043	488
807	2045	485
808	2046	483
809	2048	480
810	2049	477
811	2051	474
812	2052	472
813	2054	469
814	2056	466
815	2057	464
816	2059	461
817	2061	458
818	2072	457
819	2075	455
820	2078	453
821	2081	450
822	2084	448
823	2087	445
824	2089	443
825	2091	440
826	2095	438
827	2098	435
828	2101	433
829	2104	431
830	2106	428
831	2109	425
832	2112	423
833	2115	421
834	2118	418
835	2121	416
836	2125	413
837	2128	411
838	2134	409
839	2137	407
840	2144	405
841	2147	402
842	2151	400
843	2155	398
844	2161	396
845	2169	394
846	2173	392
847	2176	390
848	2180	387
849	2184	385
850	2189	383
851	2200	382
852	2208	380
853	2213	378
854	2217	376
855	2220	373
856	2224	371
857	2227	368
858	2230	366
859	2233	363
860	2236	361
861	2239	358
862	2242	355
863	2245	353
864	2248	350
865	2251	348
866	2254	345
867	2257	343
868	2259	340
869	2263	338
870	2266	335
871	2270	333
872	2273	330
873	2277	328
874	2279	325
875	2281	322
876	2285	320
877	2288	317
878	2291	315
879	2294	312
880	2297	310
881	2300	307
882	2303	305
883	2309	303
884	2312	300
885	2316	298
886	2318	295
887	2322	292
888	2324	290
889	2326	287
890	2328	284
891	2330	282
892	2332	279
893	2334	276
894	2335	274
895	2338	271
896	2340	268
897	2343	266
898	2345	263
899	2347	260
900	2348	258
901	2351	255
902	2364	254
903	2369	251
904	2371	248
905	2374	246
906	2379	243
907	2381	241
908	2384	238
909	2388	236
910	2389	233
911	2392	230
912	2395	228
913	2398	225
914	2401	223
915	2403	220
916	2406	217
917	2409	215
918	2412	212
919	2414	209
920	2415	207
921	2417	204
922	2418	201
923	2420	199
924	2422	196
925	2423	193
926	2425	191
927	2427	188
928	2428	185
929	2429	182
930	2431	180
931	2432	177
932	2434	174
933	2436	172
934	2437	169
935	2439	166
936	2440	164
937	2441	161
938	2442	158
939	2444	156
940	2445	153
941	2446	150
942	2448	147
943	2449	145
944	2450	142
945	2452	140
946	2459	137
947	2462	135
948	2465	132
949	2468	129
950	2471	127
951	2474	124
952	2477	122
953	2481	119
954	2484	117
955	2489	114
956	2494	112
957	2497	109
958	2500	106
959	2503	104
960	2506	101
961	2510	99
962	2513	96
963	2516	93
964	2519	91
965	2522	88
966	2525	86
967	2528	83
968	2532	81
969	2534	78
970	2537	75
971	2540	73
972	2543	70
973	2546	67
974	2549	65
975	2556	62
976	2574	60
977	2583	58
978	2587	55
979	2594	52
980	2598	50
981	2609	47
982	2614	45
983	2619	42
984	2622	39
985	2625	37
986	2628	34
987	2633	31
988	2636	29
989	2639	26
990	2644	24
991	2650	21
992	2653	18
993	2655	16
994	2658	13
995	2663	10
996	2666	8
997	2669	5
998	2672	2
999	2674	0
